Date,Sent Amount,Sent Currency,Sent Price,Sent Wallet,Received Amount,Received Currency,Received Price,Received Wallet,Fee Amount,Fee Currency,Type,Description,TxHash
04/02/2024 17:22:47,0.00397579,BTC,,,,0.000006,BTC,,,,TRANSFER: [INTERNAL_TRANSFER] Internal transfer of BTC from 3Hwrivtnz1uo6icfCwvVfjznaysMnnDfyr -> bc1pktkfqs00etl3t455yhtx4l3s0xyn...,59366be971fcd9a6e580fbc9e9506acf3daaba6d2409f812c35932ea4a2e5d62
04/04/2024 17:57:38,0.00000546,BTC,,,,0.00100046,BTC,,,,TRANSFER: [INTERNAL_TRANSFER] Sold inscription from bc1pktkfqs00etl3t455yhtx4l3s0xyn8mjrahq0aluext3uv2zxn28sw9l5p4 and received pa...,e2f3e6629c8404d7e73d0b7ae507dfc7f85126beb6bafda733cf1981efd56368
04/08/2024 04:05:06,1,NULL421,,,,1,NULL421,,,,TRANSFER: [INTERNAL_TRANSFER] self-transfer BTC network and marketplace fees (if applicable); Original sent token: nodemonkes-1055...,b6b80be92abfb7f990985f775ba3047cfa3c5a97f3db5af5fdc1af64fa8e8761
04/08/2024 04:09:53,0.00213634,BTC,,,,0.002,BTC,,,,TRANSFER: [INTERNAL_TRANSFER] Bought BRC20 to bc1pktkfqs00etl3t455yhtx4l3s0xyn8mjrahq0aluext3uv2zxn28sw9l5p4 and sent payment from...,b678e583b87f8a5a7a2175742ff8e33c0e7887e4aba4e480baa6ede712e47201
04/11/2024 04:33:20,0.05007196,BTC,,,,0.05,BTC,,,,TRANSFER: [INTERNAL_TRANSFER] Internal transfer of BTC from 3LFahTsaPb2EH5kMAcRkWp4vjkPyhmMVDz -> 3Hwrivtnz1uo6icfCwvVfjznaysMnnDf...,431a39470bddc1cbb51263780a34d78df030c5fd8b6ee49db9162ef6aa354601
04/11/2024 15:12:27,0.000006,BTC,,,,0.0124435,BTC,,,,TRANSFER: [INTERNAL_TRANSFER] Internal transfer of BTC from bc1pktkfqs00etl3t455yhtx4l3s0xyn8mjrahq0aluext3uv2zxn28sw9l5p4 -> 3Hwr...,a687de34aa3bbf448e9d0fcb0f2f6b435190274c00974d3396d10754ce300869
04/13/2024 03:58:54,0.000006,BTC,,,,0.0273685,BTC,,,,TRANSFER: [INTERNAL_TRANSFER] Minting transaction,ef5b833214ec60c3493b60c681b6dd065ac6240710bee5c0f0030f8783e67aef
04/13/2024 12:35:03,1,NULL422,,,,1,NULL422,,,,TRANSFER: [INTERNAL_TRANSFER] Internal transfer of inscription from bc1pktkfqs00etl3t455yhtx4l3s0xyn8mjrahq0aluext3uv2zxn28sw9l5p4...,0de2027899c59047f905837f6a8664f895c4cb305ddc14bb5ca061182cfb24ef
04/16/2024 19:50:35,1,NULL425,,,,1,NULL425,,,,TRANSFER: [INTERNAL_TRANSFER] Minting transaction; Original sent token: nodemonkes-9f26e59d5cddab6c97ebf06a9eebaa7d0c012a2487deb95...,da1fee1de515669af4ed61d1fc36b2e99747d6833ef547887487898753e1d2e8
08/08/2024 13:31:56,117.42,NULL365,,,,117.42,NULL365,,,,TRANSFER: [INTERNAL_TRANSFER] self-transfer BTC network and marketplace fees (if applicable); Original sent token: LIQUIDIUM•TOKEN...,0211fc62874f43fab5c041c2c4b9be1bad971af7c555e8b66b24531febee0631
08/11/2024 17:11:03,1,NULL421,,,,1,NULL421,,,,TRANSFER: [INTERNAL_TRANSFER] self-transfer BTC network and marketplace fees (if applicable); Original sent token: nodemonkes-1055...,881a46dad82909f2a4f819fd80ec8756568253ce26d78fb0b4964e6ba2979192
08/11/2024 17:13:30,0.00031162,BTC,,,,0.0003,BTC,,,,TRANSFER: [INTERNAL_TRANSFER] Internal transfer of BTC from 3LFahTsaPb2EH5kMAcRkWp4vjkPyhmMVDz -> 3KLGYvKAUxfMCMBHAbWKuhoJfhr7SoGi...,9fa83ddb215a94503c5250dd58ec2b448052493b0b744eacf5b9d038a7cf6eef
08/11/2024 17:34:31,1,NULL422,,,,1,NULL422,,,,TRANSFER: [INTERNAL_TRANSFER] self-transfer BTC network and marketplace fees (if applicable); Original sent token: nodemonkes-1f26...,24461c043661eee120ecd716e8f5517e3ab83c99d6c41ab3c88aa97d617d5344
08/11/2024 19:11:38,0.00028338,BTC,,,,0.000274,BTC,,,,TRANSFER: [INTERNAL_TRANSFER] Internal transfer of BTC from 3KLGYvKAUxfMCMBHAbWKuhoJfhr7SoGi5T -> 3QwnRdMrTi5T4mKzRBTtyVa9ZMDnm2hu...,f12aab4efee884231a786a34cb4b300ff624702e3a50fefbfa86d7b0da58e19f
08/12/2024 02:35:44,0.00124275,BTC,,,,0.00123471,BTC,,,,TRANSFER: [INTERNAL_TRANSFER] self-transfer BTC network and marketplace fees (if applicable),36424ad41e533c56da185452759ff4aed07085b071bf5711b0cb410eec64d82a
08/12/2024 02:35:44,1,NULL425,,,,1,NULL425,,,,TRANSFER: [INTERNAL_TRANSFER] self-transfer BTC network and marketplace fees (if applicable); Original sent token: nodemonkes-9f26...,36424ad41e533c56da185452759ff4aed07085b071bf5711b0cb410eec64d82a
08/12/2024 02:35:44,117.42,NULL365,,,,117.42,NULL365,,,,TRANSFER: [INTERNAL_TRANSFER] self-transfer BTC network and marketplace fees (if applicable); Original sent token: LIQUIDIUM•TOKEN...,36424ad41e533c56da185452759ff4aed07085b071bf5711b0cb410eec64d82a
08/22/2024 21:10:49,0.00025956,BTC,,,,0.00000546,BTC,,,,TRANSFER: [INTERNAL_TRANSFER],3e5d669fe4c2cebeb61e18f556fc260e7de03eb18c57cb5eaf79cbb10b166103
08/22/2024 21:10:49,0.00025956,BTC,,,,0.00000546,BTC,,,,TRANSFER: [INTERNAL_TRANSFER],3e5d669fe4c2cebeb61e18f556fc260e7de03eb18c57cb5eaf79cbb10b166103 
